"Fraction","ASV","relab_sum","shap_p","Year","Month","Species","Rotation","Nitrogen","Block","Rep","Residual","Kingdom","Phylum","Class","Order","Family","Genus","species","taxa"
"bulk soil","asv_002282",0.0726879808830359,0.475389918147988,6.44936451,1.07907693,0,0,21.69510135,0,1.10284042,69.6736168,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_002886",0.0725912289679581,0.690151723352895,14.25373134,8.03717952,1.4716404,2.06663911,5.43500028,0.0039524,0,68.73185695,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_002149",0.0722840505571364,0.616013546617959,2e-07,0.2329779,4.66e-05,0,0.26205767,0.36316246,2.285e-05,99.14173231,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"bulk soil","asv_001032",0.0722834795291385,0.0709651374306098,21.82738381,7.64773178,0.75767426,0.00021539,2.03460385,0,0,67.7323909,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_001567",0.0721142103566747,0.547712987412579,13.66497603,6.13078623,1.06e-05,0.92154101,1.75e-06,8.75e-06,4.854e-05,79.28262708,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"bulk soil","asv_004188",0.0720478319000896,0.235899129470832,2.51e-05,1e-05,0,0.24265499,0.00632874,3.076e-05,0.07996805,99.67098236,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"bulk soil","asv_001658",0.0719156114185431,0.831268630422586,2.3629188,0,2.43061944,0.52738375,4.38584948,1.27476654,0.54871522,88.46974678,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_002938",0.0717964272989663,0.781506946309219,0,14.13652683,1.08064413,0.00031101,0.00117113,1.68609318,1.777e-05,83.09523596,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,"f__Comamonadaceae g__Delftia "
"bulk soil","asv_000949",0.0717657141167422,0.48484093012265,5.00620677,7.81181737,0.0739391,1e-08,7.087e-05,1.15e-06,0,87.10796473,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"f__Oxalobacteraceae g__Herbaspirillum "
"bulk soil","asv_001074",0.0716095309588938,0.484469024816838,17.98789729,26.47182755,0,0.107813,1.23e-06,0.43994592,5.7e-07,54.99251445,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_000514",0.0714950283301771,0.700212843087909,17.89811014,26.1532222,2.60998692,8.24e-06,0.04480261,0.32277986,0,52.97109003,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_001075",0.071179229013628,0.10689254805588,1.97373316,0.2031791,0,0,2.11299727,2.08771273,2e-08,93.62237771,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA,"f__Burkholderiaceae g__Burkholderia "
"bulk soil","asv_002290",0.0707648553845653,0.00588568656357737,0.00020284,3.15114961,2.34351046,2.45e-06,7.52640527,0.71849024,0,86.26023913,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","flexus","f__Bacillaceae g__Bacillus s__flexus"
"bulk soil","asv_001564",0.0706222365710341,0.497377565484332,7.22103677,6.23347049,9.68e-06,0,1.63080478,6.8835047,0,78.03117358,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_001301",0.0704874176271195,0.273949856739115,18.4055333,7.45909219,1.66103382,0,3.41170402,1.56e-06,1e-08,69.06263511,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000891",0.0703943865785628,0.743469682942067,0.98971874,0.56891598,0.75496391,6e-07,4.28044405,0.90575994,1e-07,92.50019668,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",NA,"f__Phyllobacteriaceae g__Mesorhizobium "
"bulk soil","asv_002107",0.0702018589342239,0.59376123279372,2.09596629,0,2.30611779,0.75158866,4.39619635,1.25048008,0.55684526,88.64280557,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_001159",0.0699958128584217,0.387595967651445,16.7217048,3.41678375,0.49284992,4.61e-06,2.34600384,5.48e-06,0.85591616,76.16673144,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_002733",0.0694954936501434,0.616663341527149,5.51703265,1.30951196,1.03781239,0,8e-08,2.08842663,4.7e-07,90.04721582,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_002153",0.0693731628295216,0.699971167281766,3.38411087,0.81098636,7.402e-05,8.37e-06,1.49523259,1.22759031,1.244e-05,93.08198504,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"bulk soil","asv_001330",0.0693667001880909,0.693135317349916,16.95343122,24.80071862,0.2267488,0.62496021,0.00251872,2.06969586,0.00011978,55.32180678,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_002406",0.0691948739039101,0.385976437433633,4.4189577,2.0813385,1.958e-05,1.05834824,10.12867886,4.35315899,0.00027123,77.95922689,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_000541",0.0691499233699817,0.570191046802367,16.89065778,24.72911793,1.95129019,6.93e-06,1.69713765,0.00016896,0.23014308,54.50147749,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_002409",0.0691345913971533,0.535710229126935,0,0,1.7e-07,0.327601,1.21350247,1.4989457,0.15629853,96.80365213,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"bulk soil","asv_003586",0.0691027619843463,0.135849050986991,15.74553432,0.62370743,1.35367725,0,5.176e-05,0.00020346,0.00349196,82.27333382,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_003579",0.0690002733867948,0.197373311036991,19.87060041,7.04029496,3.44e-06,0.03472743,7.57957246,3.575e-05,0.00021286,65.47455269,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"bulk soil","asv_002705",0.0689979417401366,0.742036268313177,4.09234075,0,0.68007506,0.47074268,2.75809086,1.29550965,0,90.703241,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_001239",0.0686545604235177,0.121013518482125,13.72795038,5.9983029,0.00116787,1.212e-05,2.22e-06,5.44e-06,0.19888663,80.07367244,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"bulk soil","asv_003093",0.0686028061910773,0.873614871942574,10.45450606,5.8580247,4.176e-05,2.15e-06,0.16637196,0,2.78e-06,83.52105058,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_003668",0.0685326237824934,0.579520122530367,7.8e-07,0,5.60208149,0.51921619,0,5.055e-05,0,93.878651,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA,"f__Nitrospiraceae g__Nitrospira "
"bulk soil","asv_001833",0.0681073197485957,0.746312348752658,0,10.94907951,0.00021321,9.288e-05,4.52353198,0.00018809,2e-07,84.52689412,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,"f__Comamonadaceae g__Delftia "
"bulk soil","asv_001358",0.0678623005742374,0.0966638187968279,16.58883788,10.3559078,1.9e-07,4e-08,8.8e-07,2.158e-05,7.539e-05,73.05515623,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"bulk soil","asv_001062",0.0675784055031066,0.175311129865463,14.85240793,7.98964275,1.65706259,0.66141752,1.72617983,8.18e-06,0,73.1132812,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_003935",0.0675114540713449,0.339066921285965,15.72681754,0.62760649,1.26250414,7.2e-06,8.986e-05,0,0.00029866,82.38267611,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_002174",0.0674485845212619,0.499018971131479,3.51892451,0.0237741,1.33376924,2.82e-06,0.92580816,1.21942959,3.6252483,89.35304327,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"bulk soil","asv_003747",0.0673115156513951,0.88129230147379,8.47199936,14.5103204,1.66274697,3.8e-07,6.95223302,3.67e-06,0,68.40269619,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_000488",0.0672806413900901,0.450863521175325,17.01433591,24.94587281,0.73972318,0,1.4742119,4.86e-06,2e-08,55.82585133,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_001022",0.0672358227684174,0.772387308562617,1.1423539,2.13106399,0.10579453,7.2e-07,8e-08,1.35316448,1.70279662,93.56482568,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"f__Oxalobacteraceae  "
"bulk soil","asv_001082",0.0671486179049167,0.196742291356925,16.23681998,6.83973978,3.56342947,0,3.74158227,1.5e-07,8.7e-07,69.61842747,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_001139",0.0670008576966214,0.825392329205337,8.30849178,11.98340603,0.18176173,0,4.83047415,2.22157586,0,72.47429045,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_000545",0.0669416321557345,0.829925066526663,18.92203781,27.63923692,0.67195977,0.1170972,0.48354495,3.376e-05,0.00034637,52.16574323,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_001003",0.0668062482729233,0.39522797776136,18.45887793,7.47786556,1.60572058,8.2e-07,3.42691602,5e-08,2.2e-07,69.03061882,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000932",0.0666846390695749,0.283690331220792,3.774e-05,4.5e-07,1.66e-06,0,0,0,0,99.99996015,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","mirabilis","f__Streptomycetaceae g__Streptomyces s__mirabilis"
"bulk soil","asv_002991",0.0665971277942144,0.468385950890389,13.14101833,0.71031963,0.00079383,0.98071464,0,4.90901644,1.75899647,78.49914065,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_001895",0.0663466708155146,0.186211988309502,7.22756788,6.06786147,0,0,1.52779995,6.84537001,2.6e-07,78.33140042,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_000505",0.0662584780083536,0.26285045448711,18.27111476,26.28574642,1.17913304,0.00434441,0.10273658,0.25636808,0.00122995,53.89932676,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_005191",0.0662008448621676,0.939350310429955,11.41464228,7.21708219,0.00339255,0.00054359,2.4815982,1.105e-05,0,78.88273014,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101",NA,"f__[Chthoniobacteraceae] g__DA101 "
"bulk soil","asv_003182",0.0658590291062436,0.402950338033212,0.41294971,0,8.10441507,2.47156616,5.4e-07,4.31885351,0,84.69221501,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_002363",0.0658433981921027,0.137625704021508,0,0.69438968,9.09e-06,1.09057281,4.32092423,0.72424494,1.08910313,92.08075612,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella",NA,"f__Comamonadaceae g__Hylemonella "
"bulk soil","asv_002877",0.0657711470026308,0.762905312198558,3.38986788,2.35986151,3.02016036,3.602e-05,15.40192201,0.58361787,1.702e-05,75.24451733,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_000952",0.0654311680819375,0.199742734615802,20.8602762,7.10115595,0.36949184,0,1.64232937,0.42882031,0.6813168,68.91660954,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000582",0.0654106230001198,0.812166096584097,17.01219214,24.95538348,0.56781711,7.3e-07,1.32562512,0,0,56.13898142,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_003202",0.0652923382542556,0.0416817914632864,2.06006647,4.72253789,1.53048993,0,11.37998525,3.119e-05,0,80.30688929,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_001897",0.0650813471269061,0.404499010179434,3.003801,0,2.77691133,0,0,0,1.5e-06,94.21928616,"Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","Ellin6075",NA,NA,"f__Ellin6075  "
"bulk soil","asv_003406",0.0650135111573139,0.888733209010216,0,0,2.2033462,0.38652227,9.7388977,1.80891848,0.00137183,85.86094352,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_004100",0.0649728976250849,0.0217824917956785,4.16678278,6.51328884,3.6e-07,1.64062279,6.9594639,0,0,80.71984132,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,"f__Chitinophagaceae  "
"bulk soil","asv_001079",0.0649131442879841,0.255129802380357,20.9874842,8.65723477,0,1.3453637,3.815e-05,3.93e-06,2.848e-05,69.00984678,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"bulk soil","asv_001174",0.0648922540563564,0.797462869803073,18.71946005,4.12050656,0.57400023,7.038e-05,3.6599526,7.98e-06,0,72.9260022,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_003979",0.0646194464549024,0.507744870597783,7.75423193,3.18978736,5.19e-06,2.9e-07,0.71749791,6.6e-07,1.47e-06,88.33847519,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA,"f__Nitrososphaeraceae g__Nitrososphaera "
"bulk soil","asv_001540",0.0645030464146576,0.0790275724933615,2.26501924,0,2.27639479,0,0.86103246,8.63e-06,0.00028126,94.59726361,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000685",0.0645021067834098,0.294713651970308,19.90183784,28.36633538,2.49635146,0.00015489,0.88995766,0.00184992,3.67e-06,48.34350918,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_000924",0.0643493451851992,0.249102064291043,6.99e-06,0.03149804,0.14121934,0.15986676,3.18890635,0,0.00016382,96.47833871,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"f__Bradyrhizobiaceae g__Bradyrhizobium "
"bulk soil","asv_000530",0.0642010349640632,0.473373068136813,16.01246261,20.54430412,2.21846041,0.00020981,0.17962267,0,0,61.04494038,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_002901",0.0641834111890854,0.903367956020836,1.78e-06,0,3.44218739,0.18488718,0,3.79185391,0.38355351,92.19751623,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,"f__Intrasporangiaceae  "
"bulk soil","asv_003310",0.0640099680504726,0.391557604676782,3.08995796,6.1e-07,0,0,7.36592292,0.92024025,0.84334057,87.78053768,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_001647",0.0629094105127935,0.95808688236102,2.7e-07,1.4802732,2.32e-06,3.99e-06,0,0,0.50533102,98.0143892,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter",NA,"f__Sinobacteraceae g__Steroidobacter "
"bulk soil","asv_002088",0.0628691409212337,0.18297096463608,25.47149359,0.7122434,0.94893433,0.84659875,0,5e-08,0,72.02072988,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",NA,"f__Micrococcaceae g__Arthrobacter "
"bulk soil","asv_003420",0.0625626335373478,0.442536581955278,10.19008337,11.4208073,0.07992784,6.1e-07,1.16036824,9.6e-07,0.2924254,76.85638628,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_001385",0.0624847437929697,0.387909714052222,16.1448241,6.83689462,0,9.042e-05,0.115715,4.577e-05,0,76.90243008,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"f__Xanthomonadaceae g__Stenotrophomonas "
"bulk soil","asv_001751",0.0622715077985875,0.302581264540104,9.56971369,9.88483473,2.1e-06,2.684e-05,0.991499,0,0,79.55392364,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_003208",0.062165808584781,0.353313910343008,3.35786439,2.52150023,2.743494,7.406e-05,15.44682655,0.57064837,7.1e-07,75.35959171,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_003047",0.0621166665410745,0.803100941640892,3.47516266,0.86842516,0,1.01e-06,1.50528811,1.22826495,0,92.92285812,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"bulk soil","asv_000838",0.0621045668776698,0.456294893227141,0,0.02614627,0.77984356,3.51e-06,0,6e-08,5.4e-06,99.1940012,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"f__Caulobacteraceae g__Phenylobacterium "
"bulk soil","asv_001067",0.0618396834800125,0.97967247412113,6e-08,0,1.58451267,1.99183583,1.54549331,4e-08,0,94.8781581,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"bulk soil","asv_002148",0.0616252819003622,0.634635035103869,2.38e-06,0.51425627,0,0.14081393,4.79018179,0.13546108,0.0949607,94.32432384,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",NA,"f__Sphingomonadaceae g__Kaistobacter "
"bulk soil","asv_004487",0.0613747415012134,0.144065363921286,3.22218197,2.82991393,3.65049188,0,7.24421667,0,2.42e-06,83.05319314,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1170","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1170"
"bulk soil","asv_003353",0.0613219165561739,0.533838207059111,10.47536149,5.98654556,0,0,0.12283515,1.343e-05,0,83.41524436,"Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","SCA1145","f__Nitrososphaeraceae g__Nitrososphaera s__SCA1145"
"bulk soil","asv_003900",0.0611093448631882,0.985072038759092,0,14.06662743,1.7e-06,1.305e-05,3.21e-06,1.51764699,9.92e-06,84.4156977,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,"f__Comamonadaceae g__Delftia "
"bulk soil","asv_000864",0.0610892050243089,0.992705718654933,17.84798392,6.12816085,0,0,2.5069285,0.25208502,0.42943733,72.83540437,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_001826",0.0609922843926798,0.55730954413613,0,1.21e-06,0,0.77854228,6.05052492,5.6364925,0,87.53443909,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium",NA,"f__Comamonadaceae g__Methylibium "
"bulk soil","asv_000547",0.060936250651452,0.419022280678709,16.29932552,23.52812862,1.33103374,0,0.01625656,0.35364784,0.00041246,58.47119526,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_001557",0.0607923794941039,0.237949837630771,11.90996301,8.96919536,2.27865749,0.02291159,2.59209715,3e-08,3.4e-07,74.22717502,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"f__Pseudomonadaceae g__Pseudomonas "
"bulk soil","asv_000693",0.0606202418114753,0.803202972131524,15.86606847,23.43560372,2.85440323,4.117e-05,0.80315149,0,3.3e-07,57.04073159,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_002084",0.0605430081249967,0.897533283837712,0.00027031,0,7.927e-05,0.00662841,5.94901047,0,0.89163837,93.15237317,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA,"f__Nocardioidaceae g__Nocardioides "
"bulk soil","asv_000700",0.0605409653906295,0.74758639717091,6.86077949,10.84806009,9.08e-06,2.17e-06,1.13357523,0,1.16e-06,81.15757279,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"f__Oxalobacteraceae g__Herbaspirillum "
"bulk soil","asv_001145",0.0605152118512567,0.84498607134359,3.9882785,6.19362427,2e-08,0,1.58e-06,0.90294746,2.8e-07,88.91514789,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"f__Oxalobacteraceae g__Herbaspirillum "
"bulk soil","asv_000675",0.060282871003054,0.482052921144896,15.96752566,23.39538392,1.24181009,0.02087835,1.09560321,1.54697051,0,56.73182827,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
"bulk soil","asv_002738",0.0601659074921537,0.538461671135887,0,0.52065521,0,2.49715918,0,0.55376292,0,96.42842269,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA,"f__Rhodospirillaceae  "
"bulk soil","asv_000611",0.0601541397645822,0.285202508029501,17.87087305,26.43643136,1.17633276,2.79e-05,0.06709544,0.23763652,0,54.21160296,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"f__Sphingobacteriaceae g__Pedobacter "
